word,count
the,10642903
i,6326216
to,5607568
and,5537690
a,5166838
it,4654902
is,3242588
for,2860227
this,2845219
of,2782166
my,2319813
in,2147373
with,2046990
that,1983044
on,1758801
you,1754054
have,1632887
but,1508591
not,1460730
was,1434985
as,1185866
are,1007811
so,994529
great,988223
very,893737
be,874779
one,871726
if,812115
its,790623
they,783926
good,779066
at,760359
use,753306
all,724528
or,724439
had,697994
just,692624
from,684100
can,661518
when,640123
up,639278
would,634000
these,621655
an,613985
out,597795
no,589338
like,573408
get,551918
will,545018
works,542297
your,541485
me,539178
has,534943
well,529775
product,523005
only,506268
sound,505628
them,505234
more,504221
about,489021
camera,484916
quality,483744
than,482790
price,444621
what,434759
work,423505
other,415415
time,414738
do,411154
bought,398471
dont,398008
which,383705
there,376765
some,372446
also,367142
after,366406
really,348298
much,344231
easy,343773
am,343766
even,336436
im,325238
because,324570
any,322945
used,320549
now,320533
buy,314082
cable,311013
does,308183
better,307665
little,304089
using,292309
tv,289574
by,285064
we,282099
ive,281217
need,272045
been,269442
still,266112
got,264300
